Gene,Fast_vs_Slow_P
CFH,3.447709740597145e-05
PROS1,0.005499312439213375
DAG1,0.014928245430813428
LUM,0.04051706394132812
COL1A1,0.05035300991500674
COL6A1,0.056625842461744604
MMP2,0.0672431131270325
IGKV1-39,0.17051036003649123
NCAN,0.1786969748441394
BCAN,0.2223540791488731
HSPG2,0.2664185966381179
A2M,0.5104613472183084
NRXN1,0.5481723546450489
EFEMP1,0.6077107100818837
CTSD,0.6832710066495866
SPARC,0.7229492552012555
VTN,0.7956569640077821
COL18A1,0.8493255012800379
PPIB,0.9148445983133908
C1R,0.9955540518282829
